,Date,Close, Volume, Open, High, Low
1975,2018-01-02,172.26," 25,400,540.00 ",170.16,172.3,169.26
1976,2018-01-03,172.23," 29,461,040.00 ",172.53,174.55,171.96
1977,2018-01-04,173.03," 22,342,650.00 ",172.54,173.47,172.08
1978,2018-01-05,175.0," 23,589,930.00 ",173.44,175.37,173.05
1979,2018-01-08,174.35," 20,523,870.00 ",174.35,175.61,173.93
1980,2018-01-09,174.33," 21,532,200.00 ",174.55,175.06,173.41
1981,2018-01-10,174.29," 23,751,690.00 ",173.16,174.3,173.0
1982,2018-01-11,175.28," 18,653,380.00 ",174.59,175.49,174.49
1983,2018-01-12,177.09," 25,302,200.00 ",176.18,177.36,175.65
1984,2018-01-16,176.19," 29,512,410.00 ",177.9,179.39,176.14
1985,2018-01-17,179.1," 34,260,230.00 ",176.15,179.25,175.07
1986,2018-01-18,179.26," 31,087,330.00 ",179.37,180.1,178.25
1987,2018-01-19,178.46," 31,306,390.00 ",178.61,179.58,177.41
1988,2018-01-22,177.0," 27,052,000.00 ",177.3,177.78,176.6
1989,2018-01-23,177.04," 32,395,870.00 ",177.3,179.44,176.82
1990,2018-01-24,174.22," 51,368,540.00 ",177.25,177.3,173.2
1991,2018-01-25,171.11," 41,438,280.00 ",174.51,174.95,170.53
1992,2018-01-26,171.51," 39,075,250.00 ",172.0,172.0,170.06
1993,2018-01-29,167.96," 50,565,420.00 ",170.16,170.16,167.07
1994,2018-01-30,166.97," 45,635,470.00 ",165.53,167.37,164.7
1995,2018-01-31,167.43," 32,234,520.00 ",166.87,168.44,166.5
1996,2018-02-01,167.78," 44,453,230.00 ",167.17,168.62,166.76
1997,2018-02-02,160.5," 85,957,050.00 ",166.0,166.8,160.1
1998,2018-02-05,156.49," 72,215,320.00 ",159.1,163.88,156.0
1999,2018-02-06,163.03," 68,171,940.00 ",154.83,163.72,154.0
2000,2018-02-07,159.54," 51,467,440.00 ",163.09,163.4,159.07
2001,2018-02-08,155.15," 54,145,930.00 ",160.29,161.0,155.03
2002,2018-02-09,156.41," 70,583,530.00 ",157.07,157.89,150.24
2003,2018-02-12,162.71," 60,774,900.00 ",158.5,163.89,157.51
2004,2018-02-13,164.34," 32,483,310.00 ",161.95,164.75,161.65
2005,2018-02-14,167.37," 40,382,890.00 ",163.05,167.54,162.88
2006,2018-02-15,172.99," 50,908,540.00 ",169.79,173.09,169.0
2007,2018-02-16,172.43," 40,113,790.00 ",172.36,174.82,171.77
2008,2018-02-20,171.85," 33,690,660.00 ",172.05,174.26,171.42
2009,2018-02-21,171.07," 37,378,070.00 ",172.83,174.12,171.01
2010,2018-02-22,172.5," 30,953,760.00 ",171.8,173.95,171.71
2011,2018-02-23,175.5," 33,772,050.00 ",173.67,175.65,173.54
2012,2018-02-26,178.97," 37,353,670.00 ",176.35,179.39,176.21
2013,2018-02-27,178.39," 38,885,510.00 ",179.1,180.48,178.16
2014,2018-02-28,178.12," 37,568,080.00 ",179.26,180.62,178.05
2015,2018-03-01,175.0," 48,706,170.00 ",178.54,179.78,172.66
2016,2018-03-02,176.21," 38,426,060.00 ",172.8,176.3,172.45
2017,2018-03-05,176.82," 27,825,140.00 ",175.21,177.74,174.52
2018,2018-03-06,176.67," 23,273,160.00 ",177.91,178.25,176.13
2019,2018-03-07,175.03," 31,686,450.00 ",174.94,175.85,174.27
2020,2018-03-08,176.94," 24,518,850.00 ",175.48,177.12,175.07
2021,2018-03-09,179.98," 32,130,360.00 ",177.96,180.0,177.39
2022,2018-03-12,181.72," 32,191,070.00 ",180.29,182.39,180.21
2023,2018-03-13,179.97," 31,464,170.00 ",182.59,183.5,179.24
2024,2018-03-14,178.44," 29,334,630.00 ",180.32,180.52,177.81
2025,2018-03-15,178.65," 22,676,520.00 ",178.5,180.24,178.07
2026,2018-03-16,178.02," 38,313,330.00 ",178.65,179.12,177.62
2027,2018-03-19,175.3," 32,931,110.00 ",177.32,177.47,173.66
2028,2018-03-20,175.24," 19,620,520.00 ",175.24,176.8,174.94
2029,2018-03-21,171.27," 36,387,880.00 ",175.04,175.09,171.26
2030,2018-03-22,168.85," 41,335,980.00 ",170.0,172.68,168.6
2031,2018-03-23,164.94," 40,984,540.00 ",168.39,169.92,164.94
2032,2018-03-26,172.77," 36,778,560.00 ",168.07,173.1,166.44
2033,2018-03-27,168.34," 39,824,200.00 ",173.68,175.15,166.92
2034,2018-03-28,166.48," 41,464,880.00 ",167.25,170.02,165.19
2035,2018-03-29,167.78," 38,116,290.00 ",167.81,171.75,166.9
2036,2018-04-02,166.68," 37,425,640.00 ",167.88,168.94,164.47
2037,2018-04-03,168.39," 30,237,640.00 ",167.64,168.75,164.88
2038,2018-04-04,171.61," 34,581,850.00 ",164.88,172.01,164.77
2039,2018-04-05,172.8," 26,750,260.00 ",172.58,174.23,172.08
2040,2018-04-06,168.38," 34,949,690.00 ",170.97,172.48,168.2
2041,2018-04-09,170.05," 28,976,200.00 ",169.88,173.09,169.85
2042,2018-04-10,173.25," 28,567,110.00 ",173.0,174.0,171.53
2043,2018-04-11,172.44," 22,401,040.00 ",172.23,173.92,171.7
2044,2018-04-12,174.14," 22,858,840.00 ",173.41,175.0,173.04
2045,2018-04-13,174.73," 25,100,510.00 ",174.78,175.84,173.85
2046,2018-04-16,175.82," 21,561,320.00 ",175.03,176.19,174.83
2047,2018-04-17,178.24," 26,575,010.00 ",176.49,178.94,176.41
2048,2018-04-18,177.84," 20,544,600.00 ",177.81,178.82,176.88
2049,2018-04-19,172.8," 34,693,280.00 ",174.95,175.39,172.66
2050,2018-04-20,165.72," 65,270,950.00 ",170.6,171.22,165.43
2051,2018-04-23,165.24," 36,396,590.00 ",166.84,166.92,164.09
2052,2018-04-24,162.94," 33,674,960.00 ",165.67,166.33,161.22
2053,2018-04-25,163.65," 28,331,540.00 ",162.62,165.42,162.41
2054,2018-04-26,164.22," 27,850,370.00 ",164.12,165.73,163.37
2055,2018-04-27,162.32," 35,617,230.00 ",164.0,164.33,160.63
2056,2018-04-30,165.26," 41,976,500.00 ",162.13,167.26,161.84
2057,2018-05-01,169.1," 52,228,910.00 ",166.41,169.2,165.27
2058,2018-05-02,176.57," 66,454,720.00 ",175.23,177.75,173.8
2059,2018-05-03,176.89," 33,944,110.00 ",175.88,177.5,174.44
2060,2018-05-04,183.83," 56,137,230.00 ",178.25,184.25,178.17
2061,2018-05-07,185.16," 42,557,530.00 ",185.18,187.67,184.75
2062,2018-05-08,186.05," 28,053,230.00 ",184.99,186.22,183.67
2063,2018-05-09,187.36," 23,141,260.00 ",186.55,187.4,185.22
2064,2018-05-10,190.04," 27,942,430.00 ",187.74,190.37,187.65
2065,2018-05-11,188.59," 26,167,950.00 ",189.49,190.06,187.45
2066,2018-05-14,188.15," 20,393,070.00 ",189.01,189.53,187.86
2067,2018-05-15,186.44," 23,639,070.00 ",186.78,187.07,185.1
2068,2018-05-16,188.18," 19,046,600.00 ",186.07,188.46,186.0
2069,2018-05-17,186.99," 17,014,490.00 ",188.0,188.91,186.36
2070,2018-05-18,186.31," 18,083,080.00 ",187.19,187.81,186.13
2071,2018-05-21,187.63," 18,383,080.00 ",188.0,189.27,186.91
2072,2018-05-22,187.16," 15,228,270.00 ",188.38,188.88,186.78
2073,2018-05-23,188.36," 19,966,590.00 ",186.35,188.5,185.76
2074,2018-05-24,188.15," 23,129,400.00 ",188.77,188.84,186.21
2075,2018-05-25,188.58," 17,186,760.00 ",188.23,189.65,187.65
2076,2018-05-29,187.9," 22,409,110.00 ",187.6,188.75,186.87
2077,2018-05-30,187.5," 18,503,410.00 ",187.72,188.0,186.78
2078,2018-05-31,186.87," 27,468,700.00 ",187.22,188.23,186.14
2079,2018-06-01,190.24," 23,377,690.00 ",187.99,190.26,187.75
2080,2018-06-04,191.83," 26,190,620.00 ",191.64,193.42,191.35
2081,2018-06-05,193.31," 21,535,570.00 ",193.07,193.94,192.36
2082,2018-06-06,193.98," 20,912,820.00 ",193.63,194.08,191.92
2083,2018-06-07,193.46," 21,329,170.00 ",194.14,194.2,192.34
2084,2018-06-08,191.7," 26,580,710.00 ",191.17,192.0,189.77
2085,2018-06-11,191.23," 18,069,930.00 ",191.35,191.97,190.21
2086,2018-06-12,192.28," 16,859,020.00 ",191.39,192.61,191.15
2087,2018-06-13,190.7," 21,480,120.00 ",192.42,192.88,190.44
2088,2018-06-14,190.8," 21,584,720.00 ",191.55,191.57,190.22
2089,2018-06-15,188.84," 61,438,290.00 ",190.03,190.16,188.26
2090,2018-06-18,188.74," 18,458,410.00 ",187.88,189.22,187.2
2091,2018-06-19,185.69," 33,538,550.00 ",185.14,186.33,183.45
2092,2018-06-20,186.5," 20,490,090.00 ",186.35,187.2,185.73
2093,2018-06-21,185.46," 25,649,240.00 ",187.25,188.35,184.94
2094,2018-06-22,184.92," 27,185,130.00 ",186.12,186.15,184.7
2095,2018-06-25,182.17," 31,632,320.00 ",183.4,184.92,180.73
2096,2018-06-26,184.43," 24,378,480.00 ",182.99,186.53,182.54
2097,2018-06-27,184.16," 24,987,260.00 ",185.23,187.28,184.03
2098,2018-06-28,185.5," 17,352,380.00 ",184.1,186.21,183.8
2099,2018-06-29,185.11," 22,551,660.00 ",186.29,187.19,182.91
2100,2018-07-02,187.18," 17,675,210.00 ",183.82,187.3,183.42
2101,2018-07-03,183.92," 13,954,810.00 ",187.79,187.95,183.54
2102,2018-07-05,185.4," 16,543,880.00 ",185.26,186.41,184.28
2103,2018-07-06,187.97," 17,426,160.00 ",185.42,188.43,185.2
2104,2018-07-09,190.58," 19,636,390.00 ",189.5,190.68,189.3
2105,2018-07-10,190.35," 15,801,370.00 ",190.71,191.28,190.18
2106,2018-07-11,187.88," 18,776,390.00 ",188.5,189.78,187.61
2107,2018-07-12,191.03," 18,000,180.00 ",189.53,191.41,189.31
2108,2018-07-13,191.33," 12,506,830.00 ",191.08,191.84,190.9
2109,2018-07-16,190.91," 15,009,800.00 ",191.52,192.65,190.42
2110,2018-07-17,191.45," 15,515,000.00 ",189.75,191.87,189.2
2111,2018-07-18,190.4," 16,365,720.00 ",191.78,191.8,189.93
2112,2018-07-19,191.88," 20,182,050.00 ",189.69,192.55,189.69
2113,2018-07-20,191.44," 20,670,830.00 ",191.78,192.43,190.17
2114,2018-07-23,191.61," 15,955,820.00 ",190.68,191.96,189.56
2115,2018-07-24,193.0," 18,680,930.00 ",192.45,193.66,192.05
2116,2018-07-25,194.82," 16,553,500.00 ",193.06,194.85,192.43
2117,2018-07-26,194.21," 19,005,150.00 ",194.61,195.96,193.61
2118,2018-07-27,190.98," 23,975,350.00 ",194.99,195.19,190.1
2119,2018-07-30,189.91," 20,912,890.00 ",191.9,192.2,189.07
2120,2018-07-31,190.29," 37,847,260.00 ",190.3,192.14,189.34
2121,2018-08-01,201.5," 67,812,280.00 ",199.13,201.76,197.31
2122,2018-08-02,207.39," 62,317,430.00 ",200.58,208.38,200.35
2123,2018-08-03,207.99," 33,408,050.00 ",207.03,208.74,205.48
2124,2018-08-06,209.07," 25,396,100.00 ",208.0,209.25,207.07
2125,2018-08-07,207.11," 25,525,650.00 ",209.32,209.5,206.76
2126,2018-08-08,207.25," 22,493,750.00 ",206.05,207.81,204.52
2127,2018-08-09,208.88," 23,389,530.00 ",207.28,209.78,207.2
2128,2018-08-10,207.53," 24,592,460.00 ",207.36,209.1,206.67
2129,2018-08-13,208.87," 25,864,510.00 ",207.7,210.95,207.7
2130,2018-08-14,209.75," 20,679,270.00 ",210.16,210.56,208.26
2131,2018-08-15,210.24," 28,595,230.00 ",209.22,210.74,208.33
2132,2018-08-16,213.32," 27,595,310.00 ",211.75,213.81,211.47
2133,2018-08-17,217.58," 35,034,410.00 ",213.44,217.95,213.16
2134,2018-08-20,215.46," 30,149,410.00 ",218.1,219.18,215.11
2135,2018-08-21,215.04," 25,682,700.00 ",216.8,217.19,214.03
2136,2018-08-22,215.05," 18,965,930.00 ",214.1,216.36,213.84
2137,2018-08-23,215.49," 18,505,780.00 ",214.65,217.05,214.6
2138,2018-08-24,216.16," 18,457,720.00 ",216.6,216.9,215.11
2139,2018-08-27,217.94," 20,400,770.00 ",217.15,218.74,216.33
2140,2018-08-28,219.7," 22,751,390.00 ",219.01,220.54,218.92
2141,2018-08-29,222.98," 27,074,260.00 ",220.15,223.49,219.41
2142,2018-08-30,225.03," 48,696,960.00 ",223.25,228.26,222.4
2143,2018-08-31,227.63," 43,177,540.00 ",226.51,228.87,226.0
2144,2018-09-04,228.36," 27,363,960.00 ",228.41,229.18,226.63
2145,2018-09-05,226.87," 33,290,830.00 ",228.99,229.67,225.1
2146,2018-09-06,223.1," 34,121,240.00 ",226.23,227.35,221.3
2147,2018-09-07,221.3," 37,418,910.00 ",221.85,225.37,220.71
2148,2018-09-10,218.33," 39,194,720.00 ",220.95,221.85,216.47
2149,2018-09-11,223.85," 35,644,510.00 ",218.01,224.3,216.56
2150,2018-09-12,221.07," 49,118,510.00 ",224.94,225.0,219.84
2151,2018-09-13,226.41," 41,411,350.00 ",223.52,228.35,222.57
2152,2018-09-14,223.84," 31,801,970.00 ",225.75,226.84,222.52
2153,2018-09-17,217.88," 36,810,120.00 ",222.15,222.95,217.27
2154,2018-09-18,218.24," 31,495,630.00 ",217.79,221.85,217.12
2155,2018-09-19,218.37," 26,869,880.00 ",218.5,219.62,215.3
2156,2018-09-20,220.03," 26,388,050.00 ",220.24,222.28,219.15
2157,2018-09-21,217.66," 95,584,080.00 ",220.78,221.36,217.29
2158,2018-09-24,220.79," 27,581,270.00 ",216.82,221.26,216.63
2159,2018-09-25,222.19," 22,811,140.00 ",219.75,222.82,219.7
2160,2018-09-26,220.42," 23,430,370.00 ",221.0,223.75,219.76
2161,2018-09-27,224.95," 29,729,270.00 ",223.82,226.44,223.54
2162,2018-09-28,225.74," 22,560,440.00 ",224.79,225.84,224.02
2163,2018-10-01,227.26," 23,171,020.00 ",227.95,229.42,226.35
2164,2018-10-02,229.28," 24,435,010.00 ",227.25,230.0,226.63
2165,2018-10-03,232.07," 28,540,490.00 ",230.05,233.47,229.78
2166,2018-10-04,227.99," 31,961,120.00 ",230.78,232.35,226.73
2167,2018-10-05,224.29," 33,507,770.00 ",227.96,228.41,220.58
