date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-21,114.2297,114.2297,112.7424,112.892,5170064,5170064,-1.1265,-0.988,113.3631,"Feb 21, 14",0
2014-02-24,112.98,115.1098,112.9624,114.0449,4638248,4638248,1.1529,1.021,114.3179,"Feb 24, 14",0.010212415405874663
2014-02-25,113.7897,114.1857,111.0704,111.572,7317397,7317397,-2.4729,-2.168,112.3925,"Feb 25, 14",-0.01169259114906276
2014-02-26,111.9768,112.5928,111.2024,111.4224,4804395,4804395,-0.149607,-0.134,111.8048,"Feb 26, 14",-0.01301775147928994
2014-02-27,111.2992,113.1385,111.1144,113.1385,4649978,4649978,1.7161,1.54,112.5541,"Feb 27, 14",0.002183502816851482
2014-02-28,113.3057,114.3618,112.6984,113.4553,4365211,4365211,0.316817,0.28,113.7016,"Feb 28, 14",0.004989724692626565
2014-03-03,111.924,113.0328,111.3432,112.8392,4847051,4847051,-0.616031,-0.543,111.8772,"Mar 3, 14",-0.0004677036459624299
2014-03-04,113.8601,115.2858,113.8161,114.6081,5423308,5423308,1.7689,1.568,114.7054,"Mar 4, 14",0.015201254296141421
2014-03-05,114.7577,115.1098,113.2529,113.3409,4097125,4097125,-1.2673,-1.106,113.992,"Mar 5, 14",0.003976366793041216
2014-03-06,113.5345,113.8513,112.672,113.4025,3599923,3599923,0.061601,0.054,113.308,"Mar 6, 14",0.0045220210466641346
2014-03-07,114.1857,114.5465,112.7072,113.1209,4301861,4301861,-0.281611,-0.248,113.5481,"Mar 7, 14",0.002027601601530756
2014-03-10,111.3344,112.012,109.7943,111.6688,7039871,7039871,-1.4521,-1.284,110.7771,"Mar 10, 14",-0.010835134464798139
2014-03-11,111.792,112.0032,110.5511,110.5951,4190977,4190977,-1.0737,-0.961,111.1806,"Mar 11, 14",-0.02034599440172903
2014-03-12,110.0055,110.1815,108.9582,109.5039,5041992,5041992,-1.0913,-0.987,109.6738,"Mar 12, 14",-0.03001186975162097
2014-03-13,109.6975,110.5423,107.0398,107.2686,6071160,6071160,-2.2353,-2.041,104.8453,"Mar 13, 14",-0.04981220989972708
2014-03-14,107.471,109.3719,107.3214,108.3422,5702757,5702757,1.0737,1.001,109.7836,"Mar 14, 14",-0.04030223576515599
2014-03-17,109.0991,110.7271,109.0551,110.3751,4381634,4381634,2.0329,1.876,110.2498,"Mar 17, 14",-0.022294759593239493
2014-03-18,110.5247,110.7241,108.8262,109.1607,4151560,4151560,-1.2145,-1.1,110.2358,"Mar 18, 14",-0.033051943450377264
2014-03-19,109.4071,110.1815,106.8109,107.5766,6672961,6672961,-1.5841,-1.451,105.7436,"Mar 19, 14",-0.04708393863161249
2014-03-20,107.8846,109.0396,106.8197,108.8878,4601670,4601670,1.3113,1.219,108.1838,"Mar 20, 14",-0.03546929809021009
2014-03-21,109.1783,109.5215,107.8054,107.8758,7975403,7975403,-1.012,-0.929,106.2856,"Mar 21, 14",-0.04443361797115826
2014-03-24,108.7118,109.0815,107.4358,108.615,4476014,4476014,0.739234,0.685,108.2668,"Mar 24, 14",-0.037885766927683105
2014-03-25,109.5303,110.0055,108.7382,109.1431,3229412,3229412,0.528027,0.486,109.2246,"Mar 25, 14",-0.03320784466569812
2014-03-26,109.6623,110.2871,108.527,108.7118,3091527,3091527,-0.431221,-0.395,108.8685,"Mar 26, 14",-0.03702831024341848
2014-03-27,108.2542,109.3895,107.1894,108.4302,3116046,3116046,-0.281614,-0.259,106.5507,"Mar 27, 14",-0.03952272968855186
2014-03-28,108.9318,110.1727,108.703,109.5303,2863453,2863453,1.1001,1.015,110.2139,"Mar 28, 14",-0.029778017928639756
2014-03-31,110.3223,110.9207,109.8295,110.4367,2962010,2962010,0.906446,0.828,110.4983,"Mar 31, 14",-0.021749105339616572
2014-04-01,111.0968,112.9976,111.0352,112.8304,3953038,3953038,2.3937,2.168,112.2686,"Apr 1, 14",-0.0005456542536229188
2014-04-02,113.2001,113.3197,112.1176,112.9184,2934724,2934724,0.088003,0.078,112.6894,"Apr 2, 14",0.00023385182298134083
2014-04-03,113.6753,113.6753,112.892,113.3321,3305277,3305277,0.413621,0.366,113.3147,"Apr 3, 14",0.0038984161853807273
2014-04-04,113.8161,114.3353,111.9681,112.1,4157463,4157463,-1.2321,-1.087,113.1778,"Apr 4, 14",-0.007015554689437707
2014-04-07,111.9328,112.7996,109.9615,110.5247,3753854,3753854,-1.5753,-1.405,111.2008,"Apr 7, 14",-0.02096959926301244
2014-04-08,110.2519,110.6479,109.1783,109.2575,4122171,4122171,-1.2673,-1.147,109.5947,"Apr 8, 14",-0.03219448676611277
2014-04-09,109.9967,111.7832,109.1695,111.66,3691406,3691406,2.4025,2.199,110.8206,"Apr 9, 14",-0.010913085072458627
2014-04-10,111.6072,111.6424,108.8086,108.8086,3959932,3959932,-2.8513,-2.554,109.2475,"Apr 10, 14",-0.03617085355915386
