,Date,Open,High,Low,Close,Volume
694,2018-01-02,86.13,86.31,85.5,85.95,22483797
695,2018-01-03,86.06,86.51,85.97,86.35,26061439
696,2018-01-04,86.59,87.66,86.57,87.11,21911974
697,2018-01-05,87.66,88.41,87.43,88.19,23407110
698,2018-01-08,88.2,88.58,87.6,88.28,22113049
699,2018-01-09,88.65,88.73,87.86,88.22,19484317
700,2018-01-10,87.86,88.19,87.41,87.82,18652201
701,2018-01-11,88.13,88.13,87.24,88.08,17808877
702,2018-01-12,88.67,89.78,88.45,89.6,24271531
703,2018-01-16,90.1,90.79,88.01,88.35,36599736
704,2018-01-17,89.08,90.28,88.75,90.14,25621164
705,2018-01-18,89.8,90.67,89.66,90.1,24159683
706,2018-01-19,90.14,90.61,89.66,90.0,36875013
707,2018-01-22,90.0,91.62,89.74,91.61,23601555
708,2018-01-23,91.9,92.3,91.54,91.9,23412841
709,2018-01-24,92.55,93.43,91.58,91.82,33277483
710,2018-01-25,92.47,93.24,91.93,92.33,26383238
711,2018-01-26,93.12,94.06,92.58,94.06,29172167
712,2018-01-29,95.14,95.45,93.72,93.92,31569940
713,2018-01-30,93.3,93.66,92.1,92.74,38635053
714,2018-01-31,93.75,95.4,93.51,95.01,48756338
715,2018-02-01,94.79,96.07,93.58,94.26,47227882
716,2018-02-02,93.64,93.97,91.5,91.78,47867753
717,2018-02-05,90.56,93.24,88.0,88.0,51031465
718,2018-02-06,86.89,91.48,85.25,91.33,67998564
719,2018-02-07,90.49,91.77,89.2,89.61,41107592
720,2018-02-08,89.71,89.88,84.76,85.01,55628657
721,2018-02-09,86.3,88.93,83.83,88.18,63499065
722,2018-02-12,88.74,89.78,87.93,89.13,35720341
723,2018-02-13,88.93,90.0,87.8,89.83,26407702
724,2018-02-14,88.51,90.99,88.41,90.81,34960912
725,2018-02-15,91.21,92.72,90.62,92.66,27823866
726,2018-02-16,92.45,93.5,91.8,92.0,30596919
727,2018-02-20,91.48,93.06,91.01,92.72,30911725
728,2018-02-21,92.98,93.36,91.49,91.49,26922503
729,2018-02-22,92.05,92.73,91.36,91.73,24392753
730,2018-02-23,92.75,94.07,92.36,94.06,26329226
731,2018-02-26,94.4,95.45,94.25,95.42,30199846
732,2018-02-27,95.74,95.84,94.2,94.2,25869119
733,2018-02-28,94.84,95.71,93.63,93.77,31167338
734,2018-03-01,93.99,94.57,91.84,92.85,37135561
735,2018-03-02,91.58,93.15,90.86,93.05,32830389
736,2018-03-05,92.34,94.27,92.26,93.64,23901578
737,2018-03-06,94.34,94.49,92.94,93.32,22175776
738,2018-03-07,93.16,93.94,92.43,93.86,26716127
739,2018-03-08,94.27,95.1,93.77,94.43,25887828
740,2018-03-09,95.29,96.54,95.0,96.54,36937254
741,2018-03-12,96.5,97.21,96.04,96.77,26073742
742,2018-03-13,97.0,97.24,93.97,94.41,35387817
743,2018-03-14,95.12,95.41,93.5,93.85,32131981
744,2018-03-15,93.53,94.58,92.83,94.18,27610998
745,2018-03-16,94.68,95.38,93.92,94.6,49081279
746,2018-03-19,93.74,93.9,92.11,92.89,33344085
747,2018-03-20,93.05,93.77,93.0,93.13,23075240
748,2018-03-21,92.93,94.05,92.21,92.48,24457082
749,2018-03-22,91.27,91.75,89.66,89.79,38604715
750,2018-03-23,89.5,90.46,87.08,87.18,44068949
751,2018-03-26,90.61,94.0,90.4,93.78,56396780
752,2018-03-27,94.94,95.14,88.51,89.47,56569011
753,2018-03-28,89.82,91.23,88.87,89.39,52501146
754,2018-03-29,90.18,92.29,88.4,91.27,45867548
755,2018-04-02,90.47,90.88,87.51,88.52,48515417
756,2018-04-03,89.58,90.05,87.89,89.71,37213837
757,2018-04-04,87.85,92.76,87.73,92.33,35559956
758,2018-04-05,92.44,93.07,91.4,92.38,29771881
759,2018-04-06,91.49,92.46,89.48,90.23,38026000
760,2018-04-09,91.04,93.17,90.62,90.77,31533943
761,2018-04-10,92.39,93.28,91.64,92.88,26939883
762,2018-04-11,92.01,93.29,91.48,91.86,24872110
763,2018-04-12,92.43,94.16,92.43,93.58,26758879
764,2018-04-13,94.05,94.18,92.44,93.08,23346063
765,2018-04-16,94.07,94.66,93.42,94.17,20288083
766,2018-04-17,95.0,96.54,94.88,96.07,26771000
767,2018-04-18,96.22,96.72,95.52,96.44,21043287
768,2018-04-19,96.44,97.07,95.34,96.11,23552541
769,2018-04-20,95.91,96.11,94.05,95.0,31154377
770,2018-04-23,95.74,96.29,94.63,95.35,22331829
771,2018-04-24,96.24,96.47,92.41,93.12,34524799
772,2018-04-25,93.3,93.3,90.28,92.31,33729257
773,2018-04-26,93.55,95.15,93.1,94.26,42529043
774,2018-04-27,97.6,97.9,93.91,95.82,48272780
775,2018-04-30,96.33,96.4,93.15,93.52,41523605
776,2018-05-01,93.21,95.29,92.79,95.0,31408927
777,2018-05-02,94.99,95.17,93.19,93.51,27471002
778,2018-05-03,92.96,94.93,92.45,94.07,31142497
779,2018-05-04,93.32,95.37,92.92,95.16,22531325
780,2018-05-07,95.17,96.71,95.1,96.22,24242019
781,2018-05-08,95.85,96.16,95.06,95.81,23484589
782,2018-05-09,96.01,96.97,95.05,96.94,27327410
783,2018-05-10,97.46,97.95,97.05,97.91,22388119
784,2018-05-11,97.8,97.87,97.04,97.7,16778316
785,2018-05-14,97.92,98.69,97.31,98.03,19454124
786,2018-05-15,97.24,97.85,96.34,97.32,24594010
787,2018-05-16,97.36,97.4,96.62,97.15,17384742
788,2018-05-17,96.76,97.54,95.83,96.18,17246716
789,2018-05-18,96.01,96.93,96.01,96.36,17865840
790,2018-05-21,97.0,98.01,96.8,97.6,19422467
791,2018-05-22,97.68,98.17,97.2,97.5,15441189
792,2018-05-23,96.71,98.73,96.32,98.66,21251222
793,2018-05-24,98.73,98.94,96.81,98.31,26649287
794,2018-05-25,98.3,98.98,97.86,98.36,18363918
795,2018-05-29,97.84,98.88,97.23,98.01,28670981
796,2018-05-30,98.31,99.25,97.91,98.95,22158528
797,2018-05-31,99.29,99.99,98.61,98.84,34140891
798,2018-06-01,99.28,100.86,99.17,100.79,28655624
799,2018-06-04,101.26,101.86,100.85,101.67,27281623
800,2018-06-05,102.0,102.33,101.53,102.19,23514402
801,2018-06-06,102.48,102.6,101.9,102.49,21122917
802,2018-06-07,102.65,102.69,100.38,100.88,28232197
803,2018-06-08,101.09,101.95,100.54,101.63,22165128
804,2018-06-11,101.37,101.59,100.67,101.05,23490894
805,2018-06-12,101.1,101.45,100.75,101.31,18325228
806,2018-06-13,101.72,102.01,100.56,100.85,29492875
