,Date,S&P500
227,2014-02-24,1847.61
228,2014-02-25,1845.12
229,2014-02-26,1845.16
230,2014-02-27,1854.29
231,2014-02-28,1859.45
232,2014-03-03,1845.73
233,2014-03-04,1873.91
234,2014-03-05,1873.81
235,2014-03-06,1877.03
236,2014-03-07,1878.04
237,2014-03-10,1877.17
238,2014-03-11,1867.63
239,2014-03-12,1868.2
240,2014-03-13,1846.34
241,2014-03-14,1841.13
242,2014-03-17,1858.83
243,2014-03-18,1872.25
244,2014-03-19,1860.77
245,2014-03-20,1872.01
246,2014-03-21,1866.52
247,2014-03-24,1857.44
248,2014-03-25,1865.62
249,2014-03-26,1852.56
250,2014-03-27,1849.04
251,2014-03-28,1857.62
252,2014-03-31,1872.34
253,2014-04-01,1885.52
254,2014-04-02,1890.9
255,2014-04-03,1888.77
256,2014-04-04,1865.09
257,2014-04-07,1845.04
258,2014-04-08,1851.96
259,2014-04-09,1872.18
260,2014-04-10,1833.08
261,2014-04-11,1815.69
262,2014-04-14,1830.61
263,2014-04-15,1842.98
264,2014-04-16,1862.31
265,2014-04-17,1864.85
266,2014-04-21,1871.89
267,2014-04-22,1879.55
268,2014-04-23,1875.39
269,2014-04-24,1878.61
270,2014-04-25,1863.4
271,2014-04-28,1869.43
272,2014-04-29,1878.33
273,2014-04-30,1883.95
274,2014-05-01,1883.68
275,2014-05-02,1881.14
276,2014-05-05,1884.66
277,2014-05-06,1867.72
278,2014-05-07,1878.21
279,2014-05-08,1875.63
280,2014-05-09,1878.48
281,2014-05-12,1896.65
282,2014-05-13,1897.45
283,2014-05-14,1888.53
284,2014-05-15,1870.85
285,2014-05-16,1877.86
286,2014-05-19,1885.08
287,2014-05-20,1872.83
288,2014-05-21,1888.03
289,2014-05-22,1892.49
290,2014-05-23,1900.53
291,2014-05-27,1911.91
292,2014-05-28,1909.78
293,2014-05-29,1920.03
294,2014-05-30,1923.57
295,2014-06-02,1924.97
296,2014-06-03,1924.24
297,2014-06-04,1927.88
298,2014-06-05,1940.46
299,2014-06-06,1949.44
300,2014-06-09,1951.27
301,2014-06-10,1950.79
302,2014-06-11,1943.89
303,2014-06-12,1930.11
304,2014-06-13,1936.16
305,2014-06-16,1937.78
306,2014-06-17,1941.99
307,2014-06-18,1956.98
308,2014-06-19,1959.48
309,2014-06-20,1962.87
310,2014-06-23,1962.61
311,2014-06-24,1949.98
312,2014-06-25,1959.53
313,2014-06-26,1957.22
314,2014-06-27,1960.96
315,2014-06-30,1960.23
316,2014-07-01,1973.32
317,2014-07-02,1974.62
318,2014-07-03,1985.44
319,2014-07-07,1977.65
320,2014-07-08,1963.71
321,2014-07-09,1972.83
322,2014-07-10,1964.68
323,2014-07-11,1967.57
324,2014-07-14,1977.1
325,2014-07-15,1973.28
326,2014-07-16,1981.57
327,2014-07-17,1958.12
328,2014-07-18,1978.22
329,2014-07-21,1973.63
330,2014-07-22,1983.53
331,2014-07-23,1987.01
332,2014-07-24,1987.98
333,2014-07-25,1978.34
334,2014-07-28,1978.91
335,2014-07-29,1969.95
336,2014-07-30,1970.07
337,2014-07-31,1930.67
338,2014-08-01,1925.15
339,2014-08-04,1938.99
340,2014-08-05,1920.21
341,2014-08-06,1920.24
342,2014-08-07,1909.57
343,2014-08-08,1931.59
344,2014-08-11,1936.92
345,2014-08-12,1933.75
346,2014-08-13,1946.72
347,2014-08-14,1955.18
348,2014-08-15,1955.06
349,2014-08-18,1971.74
350,2014-08-19,1981.6
351,2014-08-20,1986.51
352,2014-08-21,1992.37
353,2014-08-22,1988.4
354,2014-08-25,1997.92
355,2014-08-26,2000.02
356,2014-08-27,2000.12
357,2014-08-28,1996.74
358,2014-08-29,2003.37
359,2014-09-02,2002.28
360,2014-09-03,2000.72
361,2014-09-04,1997.65
362,2014-09-05,2007.71
363,2014-09-08,2001.54
364,2014-09-09,1988.44
365,2014-09-10,1995.69
366,2014-09-11,1997.45
367,2014-09-12,1985.54
368,2014-09-15,1984.13
369,2014-09-16,1998.98
370,2014-09-17,2001.57
371,2014-09-18,2011.36
372,2014-09-19,2010.4
373,2014-09-22,1994.29
374,2014-09-23,1982.77
375,2014-09-24,1998.3
376,2014-09-25,1965.99
377,2014-09-26,1982.85
378,2014-09-29,1977.8
379,2014-09-30,1972.29
380,2014-10-01,1946.16
381,2014-10-02,1946.17
382,2014-10-03,1967.9
383,2014-10-06,1964.82
384,2014-10-07,1935.1
385,2014-10-08,1968.89
386,2014-10-09,1928.21
387,2014-10-10,1906.13
388,2014-10-13,1874.74
389,2014-10-14,1877.7
390,2014-10-15,1862.49
391,2014-10-16,1862.76
392,2014-10-17,1886.76
393,2014-10-20,1904.01
394,2014-10-21,1941.28
395,2014-10-22,1927.11
396,2014-10-23,1950.82
397,2014-10-24,1964.58
398,2014-10-27,1961.63
