date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-21,67.9095,68.5291,67.8263,68.2609,4561973,4561973,0.305189,0.449,68.21,"Feb 21, 14",0
2014-02-24,68.5661,70.9984,68.4366,70.2955,9569735,9569735,2.0346,2.981,70.3142,"Feb 24, 14",0.029806228748815167
2014-02-25,70.2678,70.4158,69.4817,69.6574,3762240,3762240,-0.638122,-0.908,71.1737,"Feb 25, 14",0.020458271133254744
2014-02-26,69.6667,70.4019,69.158,70.3418,5433154,5433154,0.684365,0.982,70.0457,"Feb 26, 14",0.03048450870117446
2014-02-27,70.0828,70.6655,69.9164,70.3048,4227261,4227261,-0.036994,-0.053,70.2855,"Feb 27, 14",0.029942470726286842
2014-02-28,70.3233,71.8677,70.1013,71.4608,6176557,6176557,1.156,1.644,71.3204,"Feb 28, 14",0.04687749502277291
2014-03-03,70.9337,71.6365,70.7764,71.3036,3673405,3673405,-0.157218,-0.22,71.1881,"Mar 3, 14",0.04457456611325072
2014-03-04,71.8955,72.6631,71.7105,72.2562,5171180,5171180,0.952564,1.336,72.373,"Mar 4, 14",0.058529846515355054
2014-03-05,72.3764,72.5983,71.7475,72.1267,3934324,3934324,-0.129476,-0.179,72.0217,"Mar 5, 14",0.056632713603248605
2014-03-06,72.2746,72.4504,71.7198,71.803,4200499,4200499,-0.323686,-0.449,71.9752,"Mar 6, 14",0.05189061380673256
2014-03-07,72.1452,72.2007,71.2481,71.581,3434762,3434762,-0.221957,-0.309,71.5413,"Mar 7, 14",0.04863838595740748
2014-03-10,71.4701,72.0434,71.3128,72.0249,2986435,2986435,0.443911,0.62,71.8147,"Mar 10, 14",0.0551413766885581
2014-03-11,72.0527,72.5521,71.692,71.9325,3471320,3471320,-0.092482,-0.128,72.0281,"Mar 11, 14",0.05378774671883901
2014-03-12,71.7283,72.1181,71.6819,72.0253,2875361,2875361,0.092824,0.129,71.9399,"Mar 12, 14",0.05514723655855687
2014-03-13,72.1738,72.4894,71.4313,71.4777,3178656,3178656,-0.547615,-0.76,67.1468,"Mar 13, 14",0.047125074530221425
2014-03-14,71.487,71.487,70.2154,70.2618,5128657,5128657,-1.2159,-1.701,70.6028,"Mar 14, 14",0.02931253470141746
2014-03-17,70.6702,71.487,70.6238,71.2456,3517946,3517946,0.983852,1.4,71.2174,"Mar 17, 14",0.04372488496342693
2014-03-18,71.4405,72.443,71.2549,72.3966,3670775,3670775,1.1509,1.615,72.2606,"Mar 18, 14",0.06058666088492826
2014-03-19,72.4615,74.5313,72.3409,74.2157,9060088,9060088,1.8192,2.513,72.6601,"Mar 19, 14",0.08723588467189843
2014-03-20,73.863,75.7287,73.7238,75.673,7786538,7786538,1.4572,1.963,75.3587,"Mar 20, 14",0.10858485604496856
2014-03-21,76.2855,77.3344,75.4595,75.4966,11828107,11828107,-0.176351,-0.233,74.1577,"Mar 21, 14",0.10600065337550477
2014-03-24,75.7843,75.8493,75.0511,75.4409,5306212,5306212,-0.055688,-0.074,75.3095,"Mar 24, 14",0.10518466647817407
2014-03-25,75.7287,76.2484,75.1625,75.2739,4590186,4590186,-0.16707,-0.221,75.5401,"Mar 25, 14",0.10273817075368169
2014-03-26,75.6266,76.3876,75.246,75.6822,6909988,6909988,0.408393,0.543,75.7353,"Mar 26, 14",0.10871963305494049
2014-03-27,75.7194,76.0164,74.9768,75.1996,5453852,5453852,-0.482646,-0.638,74.6905,"Mar 27, 14",0.10164969990140764
2014-03-28,75.5523,76.434,75.4224,75.7565,4787407,4787407,0.556895,0.741,75.8633,"Mar 28, 14",0.10980810390721475
2014-03-31,76.1834,76.3598,75.5616,76.0999,3513665,3513665,0.343421,0.453,76.0066,"Mar 31, 14",0.11483880230117091
2014-04-01,76.4341,77.0838,75.7194,75.9607,4339860,4339860,-0.139226,-0.183,76.0783,"Apr 1, 14",0.11279956754159402
2014-04-02,75.6822,75.8679,75.4316,75.7472,3832145,3832145,-0.213475,-0.281,75.7778,"Apr 2, 14",0.10967186192974308
2014-04-03,75.7843,76.4341,75.7379,76.3412,4215604,4215604,0.594023,0.784,76.1606,"Apr 3, 14",0.11837376887793734
2014-04-04,76.7496,76.9724,75.5233,75.673,4788119,4788119,-0.668276,-0.875,75.9921,"Apr 4, 14",0.10858485604496856
2014-04-07,75.6451,76.0906,74.949,75.2553,5290330,5290330,-0.417672,-0.552,75.3612,"Apr 7, 14",0.10246568679873834
2014-04-08,75.246,75.6915,74.355,74.8655,4048983,4048983,-0.389828,-0.518,74.8211,"Apr 8, 14",0.09675524348492315
2014-04-09,74.9954,75.7008,74.717,75.543,3308856,3308856,0.677558,0.905,75.2942,"Apr 9, 14",0.1066803982953638
2014-04-10,75.5709,76.0999,74.0487,74.2436,4850066,4850066,-1.2994,-1.72,74.4778,"Apr 10, 14",0.08764461060431365
2014-04-11,74.0394,74.225,73.1576,73.2783,3418743,3418743,-0.965288,-1.3,73.5982,"Apr 11, 14",0.07350327932974798
2014-04-14,73.7331,73.9559,72.7496,73.4918,4013706,4013706,0.213479,0.291,73.2421,"Apr 14, 14",0.07663098494159894
2014-04-15,73.6589,73.993,72.4522,73.7981,4719051,4719051,0.306292,0.417,73.3376,"Apr 15, 14",0.08111818039316795
2014-04-16,73.7795,73.8259,71.9047,72.5729,8098381,8098381,-1.2252,-1.66,72.5763,"Apr 16, 14",0.06316939858689231
2014-04-17,70.0205,71.1435,68.3219,70.336,13427199,13427199,-2.2369,-3.082,70.0051,"Apr 17, 14",0.030399540586191976
2014-04-21,70.2618,70.9857,69.4172,69.5657,6912457,6912457,-0.770376,-1.095,69.9447,"Apr 21, 14",0.01911489593603366
2014-04-22,69.7884,70.7166,69.5657,70.3175,6199367,6199367,0.751812,1.081,70.3069,"Apr 22, 14",0.030128521598748167
2014-04-23,70.3639,70.6052,69.7142,69.9184,4645725,4645725,-0.399109,-0.568,70.0833,"Apr 23, 14",0.0242818363074615
2014-04-24,70.6795,71.5426,70.4567,71.0878,4604993,4604993,1.1695,1.673,71.1162,"Apr 24, 14",0.04141316624890669
2014-04-25,71.0693,71.7376,69.8255,70.2247,5416238,5416238,-0.86319,-1.214,70.4378,"Apr 25, 14",0.028769031759030304
2014-04-28,70.8651,71.0786,70.0019,70.2989,5346755,5346755,0.074252,0.106,70.4473,"Apr 28, 14",0.02985603764380482
2014-04-29,70.4938,70.7351,69.5053,69.7977,4813169,4813169,-0.501207,-0.713,69.8057,"Apr 29, 14",0.022513620535328415
2014-04-30,69.8441,70.7166,69.5378,69.6492,6435883,6435883,-0.148504,-0.213,69.9009,"Apr 30, 14",0.02033814379827964
2014-05-01,69.6585,69.9833,68.9252,69.5657,4597953,4597953,-0.083537,-0.12,69.5328,"May 1, 14",0.01911489593603366
2014-05-02,69.3151,69.9184,69.1573,69.6399,3794748,3794748,0.074253,0.107,69.6652,"May 2, 14",0.020201901820807968
2014-05-05,69.4543,69.8998,68.9624,69.8255,4476125,4476125,0.185634,0.267,70.0139,"May 5, 14",0.022920881500243896
2014-05-06,69.7327,70.169,69.51,69.8534,4728216,4728216,0.027843,0.04,70.7369,"May 6, 14",0.023329607432658914
2014-05-07,70.1597,72.3501,69.6863,72.313,6383483,6383483,2.4596,3.521,71.3562,"May 7, 14",0.05936194805518233
2014-05-08,72.2295,72.4522,71.2271,71.3663,4943133,4943133,-0.946725,-1.309,71.713,"May 8, 14",0.04549310073556001
2014-05-09,71.3013,71.7468,71.1157,71.422,3465602,3465602,0.055689,0.078,71.4233,"May 9, 14",0.04630908763289072
2014-05-12,71.654,72.4151,71.5612,72.1552,3110874,3110874,0.733248,1.027,72.1813,"May 12, 14",0.05705022934066188
2014-05-13,72.2666,72.6007,71.9603,72.4337,3059008,3059008,0.278451,0.386,72.6584,"May 13, 14",0.06113016382731541
2014-05-14,72.443,72.443,71.4127,71.6262,2635300,2635300,-0.8075,-1.115,71.6742,"May 14, 14",0.049300551267269996
2014-05-15,71.6169,71.7654,70.7537,70.9857,3075204,3075204,-0.640432,-0.894,71.1724,"May 15, 14",0.03991743443171695
2014-05-16,70.8651,71.1621,70.5495,71.1435,2974554,2974554,0.157786,0.222,70.8752,"May 16, 14",0.042229153146237396
2014-05-19,70.9301,71.6819,70.8744,71.654,2149084,2149084,0.510489,0.718,71.4912,"May 19, 14",0.049707812232185476
2014-05-20,71.6447,71.8397,70.8744,71.1528,2806514,2806514,-0.501207,-0.699,71.2984,"May 20, 14",0.04236539512370907
2014-05-21,71.1992,72.2852,71.125,72.1367,2401209,2401209,0.983852,1.383,72,"May 21, 14",0.05677921035321828
2014-05-22,72.1274,72.9813,72.0531,72.7121,3147002,3147002,0.575458,0.798,72.6534,"May 22, 14",0.0652086333464692
2014-05-23,72.9999,73.3247,72.7327,73.1112,2251500,2251500,0.399111,0.549,73.1213,"May 23, 14",0.07105531863775587
2014-05-27,73.5382,73.631,73.0091,73.4268,2645515,2645515,0.315574,0.432,73.4481,"May 27, 14",0.07567875606679655
2014-05-28,73.2969,73.5196,72.675,72.9349,2250873,2250873,-0.491926,-0.67,72.9811,"May 28, 14",0.06847258093579182
2014-05-29,72.9534,73.7192,72.4708,73.6681,3526776,3526776,0.733246,1.005,73.3086,"May 29, 14",0.07921372264356298
2014-05-30,73.5475,74.0116,73.2133,73.9095,5139572,5139572,0.241324,0.328,73.7436,"May 30, 14",0.08275015418782915
2014-06-02,74.0394,74.1879,73.6217,73.7609,1986392,1986392,-0.148506,-0.201,73.8444,"Jun 2, 14",0.08057321248328105
2014-06-03,73.6124,74.4199,73.5846,74.1415,2841136,2841136,0.380547,0.516,74.1498,"Jun 3, 14",0.0861488787871239
2014-06-04,74.0023,74.7819,73.7702,74.7262,3552853,3552853,0.58474,0.789,74.4775,"Jun 4, 14",0.09471454375784671
2014-06-05,74.6984,74.949,73.9559,74.0672,3453679,3453679,-0.658994,-0.882,74.2504,"Jun 5, 14",0.08506040793484985
2014-06-06,74.2436,74.5499,73.8538,74.1879,3286592,3286592,0.120661,0.163,74.1908,"Jun 6, 14",0.08682862370698294
2014-06-09,74.2993,74.4849,73.566,74.0301,2801673,2801673,-0.157789,-0.213,73.9706,"Jun 9, 14",0.0845169049924627
2014-06-10,73.8816,74.2482,73.7609,74.0765,2459185,2459185,0.046409,0.063,74.0294,"Jun 10, 14",0.08519664991232152
2014-06-11,74.0301,74.5685,73.7145,74.4107,2733575,2733575,0.334139,0.451,74.283,"Jun 11, 14",0.09009257129630577
2014-06-12,74.3967,74.6019,73.7579,74.0796,2559953,2559953,-0.331015,-0.445,74.0279,"Jun 12, 14",0.08524206390481216
2014-06-13,73.9864,74.0144,73.2963,73.8372,2265154,2265154,-0.242454,-0.327,73.6478,"Jun 13, 14",0.08169098268554896
2014-06-16,73.8372,73.8652,72.5596,72.7368,4547770,4547770,-1.1004,-1.49,73.0261,"Jun 16, 14",0.06557048031889405
2014-06-17,72.6436,72.9699,72.2985,72.8953,3430890,3430890,0.15853,0.218,72.747,"Jun 17, 14",0.0678924538059123
2014-06-18,72.8953,74.0144,72.5317,73.8652,4823037,4823037,0.969825,1.33,73.2486,"Jun 18, 14",0.08210117358546393
2014-06-19,73.9957,75.3386,73.9118,75.0774,4544281,4544281,1.2123,1.641,74.829,"Jun 19, 14",0.099859509616779
2014-06-20,75.3759,75.9867,75.0308,75.9167,7366539,7366539,0.839271,1.118,75.681,"Jun 20, 14",0.11215498184172781
2014-06-23,75.8981,76.1405,75.5157,75.9913,3066875,3066875,0.074601,0.098,75.9355,"Jun 23, 14",0.1132478475965009
2014-06-24,75.9354,76.8259,75.926,76.2245,4685483,4685483,0.23313,0.307,76.3594,"Jun 24, 14",0.11666415180579218
2014-06-25,75.8608,76.8213,75.3572,76.784,3634609,3634609,0.559514,0.734,76.3706,"Jun 25, 14",0.1248606449665914
2014-06-26,76.9145,76.9145,76.1499,76.7373,2916113,2916113,-0.046624,-0.061,76.5309,"Jun 26, 14",0.12417650514423334
2014-06-27,76.1778,76.5695,75.8235,76.4669,4755622,4755622,-0.270432,-0.352,78.7468,"Jun 27, 14",0.12021523302505517
2014-06-30,76.728,76.9705,76.0892,76.2338,3916130,3916130,-0.23313,-0.305,76.5895,"Jun 30, 14",0.11680039378326385
2014-07-01,76.2245,76.7933,76.1405,76.3643,5482404,5482404,0.13055,0.171,76.4859,"Jul 1, 14",0.11871217637036711
2014-07-02,76.2804,76.9518,75.5997,76.9238,3693498,3693498,0.559517,0.733,76.5599,"Jul 2, 14",0.12690866953116633
2014-07-03,77.0171,77.8097,76.7653,77.7258,2183356,2183356,0.801968,1.043,77.5555,"Jul 3, 14",0.13865770887872853
2014-07-07,77.3901,77.4927,76.2711,76.6721,2558521,2558521,-1.0538,-1.356,76.7096,"Jul 7, 14",0.12322134633443146
2014-07-08,76.4856,76.5322,75.8887,76.4016,2972233,2972233,-0.270431,-0.353,76.2767,"Jul 8, 14",0.11925860924775376
2014-07-09,76.4483,77.1663,76.3643,77.157,3079544,3079544,0.755343,0.989,76.9344,"Jul 9, 14",0.1303249737404574
2014-07-10,75.7955,76.9425,75.581,76.5415,3829357,3829357,-0.615465,-0.798,76.4645,"Jul 10, 14",0.12130809877982845
2014-07-11,76.3923,77.5207,76.2114,77.2782,2758370,2758370,0.736691,0.962,77.0156,"Jul 11, 14",0.13210051435008902
2014-07-14,77.7072,78.9754,77.5953,78.5837,3800692,3800692,1.3055,1.689,78.6512,"Jul 14, 14",0.15122566505862045
2014-07-15,78.3693,79.022,78.0823,78.2387,4375967,4375967,-0.345033,-0.439,78.5015,"Jul 15, 14",0.14617152718466922
2014-07-16,78.3972,78.4532,77.5999,78.1081,3955246,3955246,-0.130556,-0.167,77.9585,"Jul 16, 14",0.1442582796300662
2014-07-17,78.5651,81.3533,77.8004,79.3671,7118352,7118352,1.2589,1.612,80.0435,"Jul 17, 14",0.16270222045123908
2014-07-18,79.7028,79.9918,78.7329,79.7494,3892050,3892050,0.382336,0.482,79.6005,"Jul 18, 14",0.16830279120257696
2014-07-21,79.4696,79.5349,78.3599,79.3204,4025054,4025054,-0.428961,-0.538,79.0223,"Jul 21, 14",0.16201808062888123
2014-07-22,79.7494,80.9057,79.7028,80.2436,4366881,4366881,0.923197,1.164,80.452,"Jul 22, 14",0.1755426605860748
2014-07-23,80.4861,80.7052,79.9825,80.1411,2596329,2596329,-0.102577,-0.128,80.2915,"Jul 23, 14",0.1740410688988863
2014-07-24,79.6841,80.5047,79.5349,79.8986,4022427,4022427,-0.242455,-0.303,80.071,"Jul 24, 14",0.17048852271212356
2014-07-25,78.4439,79.2738,78.332,78.9661,3362632,3362632,-0.932523,-1.167,78.8692,"Jul 25, 14",0.1568277007774581
2014-07-28,79.2925,80.1037,78.8915,79.9639,2206871,2206871,0.997798,1.264,79.7177,"Jul 28, 14",0.17144514648942494
2014-07-29,79.2272,79.7867,78.3226,78.5837,4897834,4897834,-1.3801,-1.726,78.6844,"Jul 29, 14",0.15122566505862045
2014-07-30,79.0407,79.1432,76.2058,77.3528,7171944,7171944,-1.2309,-1.566,77.0797,"Jul 30, 14",0.13319338010486229
2014-07-31,76.2524,76.6348,75.1101,75.581,5345605,5345605,-1.7718,-2.291,75.5888,"Jul 31, 14",0.10723708594524824
2014-08-01,76.0846,76.9611,75.6789,76.7187,3197713,3197713,1.1377,1.505,76.4665,"Aug 1, 14",0.12390402118928978
2014-08-04,76.0846,76.9611,75.6789,76.7187,3197713,3197713,0,0,76.4665,"Aug 4, 14",0.12390402118928978
2014-08-05,76.3084,76.9611,75.1334,75.5251,4599538,4599538,-1.1936,-1.556,75.7075,"Aug 5, 14",0.10641816911291804
2014-08-06,75.4878,76.5787,75.2919,76.0006,3311312,3311312,0.475591,0.63,76.0844,"Aug 6, 14",0.11338408957397278
2014-08-07,75.5344,75.6183,73.8185,73.9118,5471126,5471126,-2.0889,-2.748,74.3149,"Aug 7, 14",0.08278384844032224
2014-08-08,74.0517,74.779,73.4269,74.7138,3713398,3713398,0.801968,1.085,74.2759,"Aug 8, 14",0.0945328877878844
2014-08-11,74.9655,75.208,74.3781,74.4806,3460399,3460399,-0.233132,-0.312,74.6669,"Aug 11, 14",0.09111658357859313
2014-08-12,74.2382,74.9655,74.1636,74.807,3206150,3206150,0.326386,0.438,74.7365,"Aug 12, 14",0.09589823749760104
2014-08-13,75.18,76.1592,74.9609,76.01,3049868,3049868,1.203,1.608,75.8016,"Aug 13, 14",0.1135217965189442
2014-08-14,76.1965,76.5322,74.751,76.2991,2241095,2241095,0.28908,0.38,76.1831,"Aug 14, 14",0.11775701756056525
2014-08-15,76.6627,76.728,75.3572,75.9727,2442721,2442721,-0.326382,-0.428,75.9431,"Aug 15, 14",0.11297536364155755
2014-08-18,76.2524,76.9145,75.8608,76.784,2795757,2795757,0.811294,1.068,76.6637,"Aug 18, 14",0.1248606449665914
2014-08-19,76.9238,78.1081,76.5135,77.8377,3549430,3549430,1.0538,1.372,77.6449,"Aug 19, 14",0.14029700751088822
