,date,open,high,low,close,volume
0,2014-02-21,79.1586,79.2415,78.7109,78.7855,11286050
1,2014-02-24,79.2664,80.6261,79.1006,79.9545,16034244
2,2014-02-25,80.0374,80.3939,79.5566,79.8467,10664330
3,2014-02-26,80.054,80.3027,79.2001,79.4156,9088471
4,2014-02-27,79.2415,79.6312,78.8933,79.4571,9101165
5,2014-02-28,79.5566,80.2803,79.4073,79.8136,12652612
6,2014-03-03,79.3908,80.0374,78.6196,79.1752,11897226
7,2014-03-04,80.0789,80.3027,79.4819,80.0208,12566341
8,2014-03-05,78.9265,79.0011,77.43,77.7658,19836928
9,2014-03-06,77.658,77.8819,77.3264,77.7326,12612051
10,2014-03-07,78.2384,78.8104,77.9233,78.7524,12660051
11,2014-03-10,78.885,79.2166,78.4788,79.1752,9967356
12,2014-03-11,79.0591,79.2498,77.5337,77.9399,12144602
13,2014-03-12,77.6331,78.3213,77.5585,78.1057,9705872
14,2014-03-13,78.2964,78.4042,77.3761,77.6331,9872689
15,2014-03-14,77.5834,78.114,77.343,77.4922,11731826
16,2014-03-17,77.8902,78.371,77.7243,78.1969,8676159
17,2014-03-18,78.2715,78.9679,77.9896,78.5202,8757308
18,2014-03-19,78.4705,79.0094,77.2103,77.7078,9914653
19,2014-03-20,77.4673,78.5451,77.1108,78.4125,10405003
20,2014-03-21,78.8436,79.5814,78.1886,78.1886,24482606
21,2014-03-24,78.5617,78.8436,78.3296,78.4622,9539768
22,2014-03-25,78.8436,79.4405,78.5949,78.686,9799558
23,2014-03-26,79.2249,79.2415,78.2715,78.5119,11033634
24,2014-03-27,78.4373,80.0043,77.9813,79.7887,15427492
25,2014-03-28,79.9794,81.223,79.9794,80.9991,12321804
26,2014-03-31,81.6541,81.9525,80.6841,80.9825,12375215
27,2014-04-01,80.9577,81.1898,80.6509,81.024,9476393
28,2014-04-02,80.8582,81.2976,80.568,81.2064,9550006
29,2014-04-03,81.1069,81.6955,80.8831,81.1898,10119284
30,2014-04-04,81.4966,81.8365,80.6509,80.7172,12496720
31,2014-04-07,80.6261,80.8582,80.2123,80.2364,10126378
32,2014-04-08,80.4271,81.1484,80.2115,80.7919,10251416
33,2014-04-09,81.0406,81.0737,80.1112,80.6924,10464949
34,2014-04-10,80.4022,81.0654,79.7846,80.2364,13449913
35,2014-04-11,80.0125,80.7835,79.8219,80.1866,13353028
36,2014-04-14,80.825,81.2934,80.2032,81.1318,9610713
37,2014-04-15,80.8996,81.8282,80.4768,81.8116,12961766
38,2014-04-16,82.1184,82.9889,82.052,82.8562,12508091
39,2014-04-17,82.649,83.7101,82.649,83.2542,15439810
40,2014-04-21,82.9308,83.677,82.8148,83.677,8003529
41,2014-04-22,83.3454,83.619,83.0884,83.2127,8212620
42,2014-04-23,83.3951,83.6936,83.1796,83.3205,8691639
43,2014-04-24,83.3039,83.4034,82.7899,82.9143,9057792
44,2014-04-25,82.8977,83.3785,82.8479,83.2459,10396471
45,2014-04-28,83.5029,84.118,83.163,83.876,12710821
46,2014-04-29,84.2076,85.0366,83.9258,84.1081,10094588
47,2014-04-30,83.8428,84.904,83.4946,84.904,13972286
48,2014-05-01,84.5309,84.8874,83.9008,84.0749,11161697
49,2014-05-02,83.9672,85.3185,83.7184,84.5724,11169957
50,2014-05-05,84.3071,85.5009,84.2159,85.3185,7614576
51,2014-05-06,85.0615,85.6419,84.904,85.1196,9669834
